ISO3,Country,SchoolType,Service Type,Year,Coverage,School-age population,ServiceLevel
LCA,Saint Lucia,primary,Drinking water,2019,0,0,Insufficient data
LCA,Saint Lucia,secondary,Drinking water,2019,0,0,Insufficient data
LKA,Sri Lanka,primary,Drinking water,2019,15.55617,265472.2066,Insufficient data
LKA,Sri Lanka,secondary,Drinking water,2019,12.18375,332787.0192,Insufficient data
LSO,Lesotho,primary,Drinking water,2019,100,304142,Insufficient data
LSO,Lesotho,secondary,Drinking water,2019,100,217958,Insufficient data
LVA,Latvia,primary,Drinking water,2019,0,0,Insufficient data
LVA,Latvia,secondary,Drinking water,2019,0,0,Insufficient data
MAC,"China, Macao Special Administrative Region",primary,Drinking water,2019,0,0,Insufficient data
MAC,"China, Macao Special Administrative Region",secondary,Drinking water,2019,0,0,Insufficient data
MAR,Morocco,primary,Drinking water,2019,0,0,Insufficient data
MAR,Morocco,secondary,Drinking water,2019,0,0,Insufficient data
MCO,Monaco,primary,Drinking water,2019,0,0,Insufficient data
MCO,Monaco,secondary,Drinking water,2019,0,0,Insufficient data
MDA,Republic of Moldova,primary,Drinking water,2019,100,122576,Insufficient data
MDA,Republic of Moldova,secondary,Drinking water,2019,100,214696,Insufficient data
MDG,Madagascar,primary,Drinking water,2019,36.8,1276045.152,Insufficient data
MDG,Madagascar,secondary,Drinking water,2019,25.9,1118875.856,Insufficient data
MDV,Maldives,primary,Drinking water,2019,0,0,Insufficient data
MDV,Maldives,secondary,Drinking water,2019,0,0,Insufficient data
MEX,Mexico,primary,Drinking water,2019,83.35327,11160490.72,Insufficient data
MEX,Mexico,secondary,Drinking water,2019,0,0,Insufficient data
MHL,Marshall Islands,primary,Drinking water,2019,96.81,8802.9333,Insufficient data
MHL,Marshall Islands,secondary,Drinking water,2019,100,9014,Insufficient data
MLI,Mali,primary,Drinking water,2019,0,0,Insufficient data
MLI,Mali,secondary,Drinking water,2019,100,2658163,Insufficient data
MMR,Myanmar,primary,Drinking water,2019,28.12928,1305752.584,Insufficient data
MMR,Myanmar,secondary,Drinking water,2019,18.3218,1106163.707,Insufficient data
MNG,Mongolia,primary,Drinking water,2019,0,0,Insufficient data
MNG,Mongolia,secondary,Drinking water,2019,0,0,Insufficient data
MOZ,Mozambique,primary,Drinking water,2019,100,5963908,Insufficient data
MOZ,Mozambique,secondary,Drinking water,2019,100,3657186,Insufficient data
MRT,Mauritania,primary,Drinking water,2019,18.1,122120.881,Insufficient data
MRT,Mauritania,secondary,Drinking water,2019,41.925,276464.3505,Insufficient data
MSR,Montserrat,primary,Drinking water,2019,0,0,Insufficient data
MSR,Montserrat,secondary,Drinking water,2019,0,0,Insufficient data
MUS,Mauritius,primary,Drinking water,2019,0,0,Insufficient data
MUS,Mauritius,secondary,Drinking water,2019,0,0,Insufficient data
MWI,Malawi,primary,Drinking water,2019,0,0,Insufficient data
MWI,Malawi,secondary,Drinking water,2019,0,0,Insufficient data
MYS,Malaysia,primary,Drinking water,2019,0,0,Insufficient data
MYS,Malaysia,secondary,Drinking water,2019,0,0,Insufficient data
NAM,Namibia,primary,Drinking water,2019,100,405849,Insufficient data
NAM,Namibia,secondary,Drinking water,2019,100,245419,Insufficient data
NER,Niger,primary,Drinking water,2019,0,0,Insufficient data
NER,Niger,secondary,Drinking water,2019,55.01603,1948206.136,Insufficient data
NGA,Nigeria,primary,Drinking water,2019,0,0,Insufficient data
NGA,Nigeria,secondary,Drinking water,2019,0,0,Insufficient data
NIC,Nicaragua,primary,Drinking water,2019,68.4573,536729.1559,Insufficient data
NIC,Nicaragua,secondary,Drinking water,2019,100,619484,Insufficient data
NIU,Niue,primary,Drinking water,2019,0,0,Insufficient data
NIU,Niue,secondary,Drinking water,2019,0,0,Insufficient data
NLD,Netherlands,primary,Drinking water,2019,0,0,Insufficient data
NLD,Netherlands,secondary,Drinking water,2019,0,0,Insufficient data
NOR,Norway,primary,Drinking water,2019,0,0,Insufficient data
NOR,Norway,secondary,Drinking water,2019,0,0,Insufficient data
NPL,Nepal,primary,Drinking water,2019,60.98854,1703387.966,Insufficient data
NPL,Nepal,secondary,Drinking water,2019,23.51894,1016015.218,Insufficient data
NRU,Nauru,primary,Drinking water,2019,100,1525,Insufficient data
NRU,Nauru,secondary,Drinking water,2019,100,1244,Insufficient data
OMN,Oman,primary,Drinking water,2019,100,281762,Insufficient data
OMN,Oman,secondary,Drinking water,2019,100,407671,Insufficient data
PAK,Pakistan,primary,Drinking water,2019,0,0,Insufficient data
PAK,Pakistan,secondary,Drinking water,2019,0,0,Insufficient data
PAN,Panama,primary,Drinking water,2019,80.27349,363291.339,Insufficient data
PAN,Panama,secondary,Drinking water,2019,100,431496,Insufficient data
PER,Peru,primary,Drinking water,2019,0,0,Insufficient data
PER,Peru,secondary,Drinking water,2019,0,0,Insufficient data
PHL,Philippines,primary,Drinking water,2019,0,0,Insufficient data
PHL,Philippines,secondary,Drinking water,2019,0,0,Insufficient data
PNG,Papua New Guinea,primary,Drinking water,2019,0,0,Insufficient data
PNG,Papua New Guinea,secondary,Drinking water,2019,0,0,Insufficient data
POL,Poland,primary,Drinking water,2019,0,0,Insufficient data
POL,Poland,secondary,Drinking water,2019,0,0,Insufficient data
PRK,Democratic People's Republic of Korea,primary,Drinking water,2019,100,1381659,Insufficient data
PRK,Democratic People's Republic of Korea,secondary,Drinking water,2019,100,2324048,Insufficient data
PRT,Portugal,primary,Drinking water,2019,0,0,Insufficient data
PRT,Portugal,secondary,Drinking water,2019,0,0,Insufficient data
PRY,Paraguay,primary,Drinking water,2019,0,0,Insufficient data
PRY,Paraguay,secondary,Drinking water,2019,100,796500,Insufficient data
PSE,West Bank and Gaza Strip,primary,Drinking water,2019,0,0,Insufficient data
PSE,West Bank and Gaza Strip,secondary,Drinking water,2019,0,0,Insufficient data
QAT,Qatar,primary,Drinking water,2019,0,0,Insufficient data
QAT,Qatar,secondary,Drinking water,2019,0,0,Insufficient data
ROU,Romania,primary,Drinking water,2019,36.48,388308.8064,Insufficient data
ROU,Romania,secondary,Drinking water,2019,15.29,250430.0172,Insufficient data
RUS,Russian Federation,primary,Drinking water,2019,100,6838010,Insufficient data
RUS,Russian Federation,secondary,Drinking water,2019,100,10176469,Insufficient data
RWA,Rwanda,primary,Drinking water,2019,46.97748,898846.9275,Insufficient data
RWA,Rwanda,secondary,Drinking water,2019,35.09619,579752.1949,Insufficient data
SAU,Saudi Arabia,primary,Drinking water,2019,0,0,Insufficient data
SAU,Saudi Arabia,secondary,Drinking water,2019,0,0,Insufficient data
SDN,Sudan,primary,Drinking water,2019,86.3,5682416.596,Insufficient data
SDN,Sudan,secondary,Drinking water,2019,95.3645,4704094.281,Insufficient data
SEN,Senegal,primary,Drinking water,2019,0,0,Insufficient data
SEN,Senegal,secondary,Drinking water,2019,0,0,Insufficient data
SGP,Singapore,primary,Drinking water,2019,0,0,Insufficient data
SGP,Singapore,secondary,Drinking water,2019,0,0,Insufficient data
SLB,Solomon Islands,primary,Drinking water,2019,80.44,82621.5328,Insufficient data
SLB,Solomon Islands,secondary,Drinking water,2019,81.27,81676.35,Insufficient data
SLE,Sierra Leone,primary,Drinking water,2019,0,0,Insufficient data
SLE,Sierra Leone,secondary,Drinking water,2019,0,0,Insufficient data
SLV,El Salvador,primary,Drinking water,2019,0,0,Insufficient data
SLV,El Salvador,secondary,Drinking water,2019,0,0,Insufficient data
SMR,San Marino,primary,Drinking water,2019,0,0,Insufficient data
SMR,San Marino,secondary,Drinking water,2019,0,0,Insufficient data
SOM,Somalia,primary,Drinking water,2019,53.99469,1437804.495,Insufficient data
SOM,Somalia,secondary,Drinking water,2019,63.04686,1409316.806,Insufficient data
SRB,Serbia,primary,Drinking water,2019,36.596,94113.20128,Insufficient data
SRB,Serbia,secondary,Drinking water,2019,8.52,44609.6124,Insufficient data
SSD,South Sudan,primary,Drinking water,2019,0,0,Insufficient data
SSD,South Sudan,secondary,Drinking water,2019,92,1404480.28,Insufficient data
STP,Sao Tome and Principe,primary,Drinking water,2019,90.49674,32372.49315,Insufficient data
STP,Sao Tome and Principe,secondary,Drinking water,2019,95.42381,29577.564,Insufficient data
SVK,Slovakia,primary,Drinking water,2019,0,0,Insufficient data
SVK,Slovakia,secondary,Drinking water,2019,0,0,Insufficient data
SVN,Slovenia,primary,Drinking water,2019,0,0,Insufficient data
SVN,Slovenia,secondary,Drinking water,2019,0,0,Insufficient data
SWZ,Eswatini,primary,Drinking water,2019,83.15423,171459.0346,Insufficient data
SWZ,Eswatini,secondary,Drinking water,2019,91.19698,122653.5499,Insufficient data
SYC,Seychelles,primary,Drinking water,2019,0,0,Insufficient data
SYC,Seychelles,secondary,Drinking water,2019,0,0,Insufficient data
SYR,Syrian Arab Republic,primary,Drinking water,2019,0,0,Insufficient data
SYR,Syrian Arab Republic,secondary,Drinking water,2019,0,0,Insufficient data
TCA,Turks and Caicos Islands,primary,Drinking water,2019,0,0,Insufficient data
TCA,Turks and Caicos Islands,secondary,Drinking water,2019,0,0,Insufficient data
TCD,Chad,primary,Drinking water,2019,0,0,Insufficient data
TCD,Chad,secondary,Drinking water,2019,49.98574,1306819.791,Insufficient data
TGO,Togo,primary,Drinking water,2019,0,0,Insufficient data
TGO,Togo,secondary,Drinking water,2019,51.41,643673.764,Insufficient data
TJK,Tajikistan,primary,Drinking water,2019,100,838709,Insufficient data
TJK,Tajikistan,secondary,Drinking water,2019,100,1180485,Insufficient data
TLS,Timor-Leste,primary,Drinking water,2019,0,0,Insufficient data
TLS,Timor-Leste,secondary,Drinking water,2019,0,0,Insufficient data
TUN,Tunisia,primary,Drinking water,2019,0,0,Insufficient data
TUN,Tunisia,secondary,Drinking water,2019,100,1109134,Insufficient data
TZA,United Republic of Tanzania,primary,Drinking water,2019,72.4,7975459.472,Insufficient data
TZA,United Republic of Tanzania,secondary,Drinking water,2019,100,7584570,Insufficient data
UGA,Uganda,primary,Drinking water,2019,0,0,Insufficient data
UGA,Uganda,secondary,Drinking water,2019,100,6417643,Insufficient data
UKR,Ukraine,primary,Drinking water,2019,100,1530444,Insufficient data
UKR,Ukraine,secondary,Drinking water,2019,100,2319342,Insufficient data
URY,Uruguay,primary,Drinking water,2019,0,0,Insufficient data
URY,Uruguay,secondary,Drinking water,2019,0,0,Insufficient data
USA,United States,primary,Drinking water,2019,0,0,Insufficient data
USA,United States,secondary,Drinking water,2019,0,0,Insufficient data
UZB,Uzbekistan,primary,Drinking water,2019,9.55434,234221.8743,Insufficient data
UZB,Uzbekistan,secondary,Drinking water,2019,10.97662,458926.8841,Insufficient data
VCT,Saint Vincent and the Grenadines,primary,Drinking water,2019,0,0,Insufficient data
VCT,Saint Vincent and the Grenadines,secondary,Drinking water,2019,0,0,Insufficient data
VEN,Venezuela (Bolivarian Republic of),primary,Drinking water,2019,2.51,82585.024,Insufficient data
VEN,Venezuela (Bolivarian Republic of),secondary,Drinking water,2019,100,2637904,Insufficient data
VGB,British Virgin Islands,primary,Drinking water,2019,0,0,Insufficient data
VGB,British Virgin Islands,secondary,Drinking water,2019,15.72303,342.44755,Insufficient data
VNM,Viet Nam,primary,Drinking water,2019,100,7369125,Insufficient data
VNM,Viet Nam,secondary,Drinking water,2019,100,9288978,Insufficient data
VUT,Vanuatu,primary,Drinking water,2019,48.9226,22605.17778,Insufficient data
VUT,Vanuatu,secondary,Drinking water,2019,41.88427,18437.87282,Insufficient data
WSM,Samoa,primary,Drinking water,2019,0,0,Insufficient data
WSM,Samoa,secondary,Drinking water,2019,0,0,Insufficient data
YEM,Yemen,primary,Drinking water,2019,100,4408880,Insufficient data
YEM,Yemen,secondary,Drinking water,2019,54.02,2108125.638,Insufficient data
ZAF,South Africa,primary,Drinking water,2019,100,7815423,Insufficient data
ZAF,South Africa,secondary,Drinking water,2019,100,4911133,Insufficient data
ZMB,Zambia,primary,Drinking water,2019,0,0,Insufficient data
ZMB,Zambia,secondary,Drinking water,2019,0,0,Insufficient data
ZWE,Zimbabwe,primary,Drinking water,2019,0,0,Insufficient data
ZWE,Zimbabwe,secondary,Drinking water,2019,0,0,Insufficient data
AFG,Afghanistan,primary,Drinking water,2019,17.35,1102093.514,Limited service
AND,Andorra,primary,Drinking water,2019,0,0,Limited service
AND,Andorra,secondary,Drinking water,2019,0,0,Limited service
ARE,United Arab Emirates,primary,Drinking water,2019,0,0,Limited service
ARE,United Arab Emirates,secondary,Drinking water,2019,0,0,Limited service
ATG,Antigua and Barbuda,primary,Drinking water,2019,0.80645,78.44339,Limited service
ATG,Antigua and Barbuda,secondary,Drinking water,2019,0,0,Limited service
AUS,Australia,primary,Drinking water,2019,0,0,Limited service
AUS,Australia,secondary,Drinking water,2019,0,0,Limited service
AZE,Azerbaijan,primary,Drinking water,2019,0,0,Limited service
AZE,Azerbaijan,secondary,Drinking water,2019,0,0,Limited service
BDI,Burundi,primary,Drinking water,2019,7.56981,140790.2935,Limited service
BDI,Burundi,secondary,Drinking water,2019,33.45971,553702.9807,Limited service
BEL,Belgium,primary,Drinking water,2019,0,0,Limited service
BEL,Belgium,secondary,Drinking water,2019,0,0,Limited service
BEN,Benin,primary,Drinking water,2019,36.6682,685206.9745,Limited service
BFA,Burkina Faso,secondary,Drinking water,2019,13.76421,447181.0715,Limited service
BGD,Bangladesh,primary,Drinking water,2019,13.13606,1944127.524,Limited service
BGD,Bangladesh,secondary,Drinking water,2019,6.99864,1515412.142,Limited service
BHR,Bahrain,primary,Drinking water,2019,0,0,Limited service
BHR,Bahrain,secondary,Drinking water,2019,0,0,Limited service
BLR,Belarus,primary,Drinking water,2019,0,0,Limited service
BLR,Belarus,secondary,Drinking water,2019,0,0,Limited service
BRB,Barbados,primary,Drinking water,2019,0,0,Limited service
BRB,Barbados,secondary,Drinking water,2019,0,0,Limited service
BTN,Bhutan,primary,Drinking water,2019,30.67174,27698.42507,Limited service
BTN,Bhutan,secondary,Drinking water,2019,29.14466,24316.55579,Limited service
CAF,Central African Republic,primary,Drinking water,2019,2.66715,21808.72622,Limited service
CHE,Switzerland,primary,Drinking water,2019,0,0,Limited service
CHE,Switzerland,secondary,Drinking water,2019,0,0,Limited service
CMR,Cameroon,primary,Drinking water,2019,22.80477,948848.0739,Limited service
COK,Cook Islands,primary,Drinking water,2019,0,0,Limited service
COK,Cook Islands,secondary,Drinking water,2019,0,0,Limited service
CRI,Costa Rica,primary,Drinking water,2019,0.90045,3852.41839,Limited service
CRI,Costa Rica,secondary,Drinking water,2019,18.20262,64937.86416,Limited service
CUB,Cuba,primary,Drinking water,2019,0,0,Limited service
CUB,Cuba,secondary,Drinking water,2019,0,0,Limited service
CYM,Cayman Islands,primary,Drinking water,2019,0,0,Limited service
CYM,Cayman Islands,secondary,Drinking water,2019,0,0,Limited service
DEU,Germany,primary,Drinking water,2019,0,0,Limited service
DEU,Germany,secondary,Drinking water,2019,0,0,Limited service
DMA,Dominica,primary,Drinking water,2019,0,0,Limited service
DMA,Dominica,secondary,Drinking water,2019,0,0,Limited service
DNK,Denmark,primary,Drinking water,2019,0,0,Limited service
DNK,Denmark,secondary,Drinking water,2019,0,0,Limited service
DZA,Algeria,primary,Drinking water,2019,0,0,Limited service
DZA,Algeria,secondary,Drinking water,2019,0.66,28528.2162,Limited service
ECU,Ecuador,primary,Drinking water,2019,6.2371,117372.4304,Limited service
ECU,Ecuador,secondary,Drinking water,2019,0.5,9334.07,Limited service
ESP,Spain,primary,Drinking water,2019,0,0,Limited service
ESP,Spain,secondary,Drinking water,2019,0,0,Limited service
EST,Estonia,primary,Drinking water,2019,0,0,Limited service
EST,Estonia,secondary,Drinking water,2019,0,0,Limited service
ETH,Ethiopia,primary,Drinking water,2019,5.60718,943923.8453,Limited service
ETH,Ethiopia,secondary,Drinking water,2019,31.11513,4819708.588,Limited service
FIN,Finland,primary,Drinking water,2019,0,0,Limited service
FIN,Finland,secondary,Drinking water,2019,0,0,Limited service
FRA,France,primary,Drinking water,2019,0,0,Limited service
FRA,France,secondary,Drinking water,2019,0,0,Limited service
GHA,Ghana,primary,Drinking water,2019,7.61514,330479.5275,Limited service
GHA,Ghana,secondary,Drinking water,2019,14.47071,638946.8302,Limited service
GIB,Gibraltar,primary,Drinking water,2019,0,0,Limited service
GIB,Gibraltar,secondary,Drinking water,2019,0,0,Limited service
GIN,Guinea,primary,Drinking water,2019,25.31277,519515.5483,Limited service
GRD,Grenada,primary,Drinking water,2019,0,0,Limited service
GRD,Grenada,secondary,Drinking water,2019,1.4,106.792,Limited service
HKG,"China, Hong Kong Special Administrative Region",primary,Drinking water,2019,0,0,Limited service
HKG,"China, Hong Kong Special Administrative Region",secondary,Drinking water,2019,0,0,Limited service
HUN,Hungary,primary,Drinking water,2019,0,0,Limited service
HUN,Hungary,secondary,Drinking water,2019,0,0,Limited service
IDN,Indonesia,primary,Drinking water,2019,10.90951,3026273.751,Limited service
IDN,Indonesia,secondary,Drinking water,2019,11.16367,3126813.014,Limited service
IND,India,primary,Drinking water,2019,25.36419,31450705.47,Limited service
IND,India,secondary,Drinking water,2019,18.26031,32399745.13,Limited service
ISR,Israel,primary,Drinking water,2019,0,0,Limited service
ISR,Israel,secondary,Drinking water,2019,0,0,Limited service
ITA,Italy,primary,Drinking water,2019,0,0,Limited service
ITA,Italy,secondary,Drinking water,2019,0,0,Limited service
KHM,Cambodia,primary,Drinking water,2019,2.14197,43516.39599,Limited service
KHM,Cambodia,secondary,Drinking water,2019,0,0,Limited service
KNA,Saint Kitts and Nevis,secondary,Drinking water,2019,0,0,Limited service
KOR,Republic of Korea,primary,Drinking water,2019,0,0,Limited service
KOR,Republic of Korea,secondary,Drinking water,2019,0,0,Limited service
KWT,Kuwait,primary,Drinking water,2019,0,0,Limited service
KWT,Kuwait,secondary,Drinking water,2019,0,0,Limited service
LBN,Lebanon,primary,Drinking water,2019,3.1,20230.011,Limited service
LBN,Lebanon,secondary,Drinking water,2019,2.6,18483.946,Limited service
LBR,Liberia,primary,Drinking water,2019,13.41989,103724.7454,Limited service
LBR,Liberia,secondary,Drinking water,2019,10.72837,72366.95492,Limited service
LCA,Saint Lucia,primary,Drinking water,2019,0.83333,127.79167,Limited service
LCA,Saint Lucia,secondary,Drinking water,2019,0,0,Limited service
LVA,Latvia,primary,Drinking water,2019,0,0,Limited service
LVA,Latvia,secondary,Drinking water,2019,0,0,Limited service
MAC,"China, Macao Special Administrative Region",primary,Drinking water,2019,0,0,Limited service
MAC,"China, Macao Special Administrative Region",secondary,Drinking water,2019,0,0,Limited service
MAR,Morocco,primary,Drinking water,2019,9.65918,373039.1092,Limited service
MAR,Morocco,secondary,Drinking water,2019,0,0,Limited service
MCO,Monaco,primary,Drinking water,2019,0,0,Limited service
MCO,Monaco,secondary,Drinking water,2019,0,0,Limited service
MDV,Maldives,primary,Drinking water,2019,0,0,Limited service
MDV,Maldives,secondary,Drinking water,2019,0,0,Limited service
MEX,Mexico,secondary,Drinking water,2019,36.6417,4939093.874,Limited service
MLI,Mali,primary,Drinking water,2019,27.85609,941569.5603,Limited service
MNG,Mongolia,primary,Drinking water,2019,23.8,75259.646,Limited service
MNG,Mongolia,secondary,Drinking water,2019,25.35,81638.4075,Limited service
MSR,Montserrat,primary,Drinking water,2019,0,0,Limited service
MSR,Montserrat,secondary,Drinking water,2019,0,0,Limited service
MUS,Mauritius,primary,Drinking water,2019,0,0,Limited service
MUS,Mauritius,secondary,Drinking water,2019,0,0,Limited service
MWI,Malawi,primary,Drinking water,2019,4.24111,136132.6688,Limited service
MWI,Malawi,secondary,Drinking water,2019,13.18611,363979.1259,Limited service
MYS,Malaysia,primary,Drinking water,2019,2.86479,86543.85961,Limited service
MYS,Malaysia,secondary,Drinking water,2019,1.09913,37491.86143,Limited service
NER,Niger,primary,Drinking water,2019,1.63428,65620.53414,Limited service
NGA,Nigeria,primary,Drinking water,2019,27.42201,8981278.211,Limited service
NGA,Nigeria,secondary,Drinking water,2019,18.20514,4909364.811,Limited service
NIU,Niue,primary,Drinking water,2019,0,0,Limited service
NIU,Niue,secondary,Drinking water,2019,0,0,Limited service
NLD,Netherlands,primary,Drinking water,2019,0,0,Limited service
NLD,Netherlands,secondary,Drinking water,2019,0,0,Limited service
NOR,Norway,primary,Drinking water,2019,0,0,Limited service
NOR,Norway,secondary,Drinking water,2019,0,0,Limited service
PAK,Pakistan,primary,Drinking water,2019,10.92096,2697868.006,Limited service
PAK,Pakistan,secondary,Drinking water,2019,4.27154,1350860.482,Limited service
PER,Peru,primary,Drinking water,2019,5.36665,175698.8513,Limited service
PER,Peru,secondary,Drinking water,2019,9.39841,244022.6019,Limited service
PHL,Philippines,primary,Drinking water,2019,19.85243,2632848.767,Limited service
PHL,Philippines,secondary,Drinking water,2019,18.35268,1824076.316,Limited service
PNG,Papua New Guinea,primary,Drinking water,2019,6.29018,89476.43411,Limited service
PNG,Papua New Guinea,secondary,Drinking water,2019,23.27467,260451.5006,Limited service
POL,Poland,primary,Drinking water,2019,0,0,Limited service
POL,Poland,secondary,Drinking water,2019,0,0,Limited service
PRT,Portugal,primary,Drinking water,2019,0,0,Limited service
PRT,Portugal,secondary,Drinking water,2019,0,0,Limited service
PRY,Paraguay,primary,Drinking water,2019,29.83161,244237.6495,Limited service
PSE,West Bank and Gaza Strip,primary,Drinking water,2019,19.39163,92790.71863,Limited service
PSE,West Bank and Gaza Strip,secondary,Drinking water,2019,14.09396,128147.0738,Limited service
QAT,Qatar,primary,Drinking water,2019,0,0,Limited service
QAT,Qatar,secondary,Drinking water,2019,0,0,Limited service
SAU,Saudi Arabia,primary,Drinking water,2019,0,0,Limited service
SAU,Saudi Arabia,secondary,Drinking water,2019,0,0,Limited service
SEN,Senegal,primary,Drinking water,2019,31.98719,846495.1606,Limited service
SEN,Senegal,secondary,Drinking water,2019,16.2604,404353.5645,Limited service
SGP,Singapore,primary,Drinking water,2019,0,0,Limited service
SGP,Singapore,secondary,Drinking water,2019,0,0,Limited service
SLE,Sierra Leone,primary,Drinking water,2019,37.44406,461225.8622,Limited service
SLE,Sierra Leone,secondary,Drinking water,2019,26.45698,326615.9637,Limited service
SLV,El Salvador,primary,Drinking water,2019,14.81318,102726.4451,Limited service
SLV,El Salvador,secondary,Drinking water,2019,11.77658,83691.44866,Limited service
SMR,San Marino,primary,Drinking water,2019,0,0,Limited service
SMR,San Marino,secondary,Drinking water,2019,0,0,Limited service
SSD,South Sudan,primary,Drinking water,2019,9.34343,166650.5387,Limited service
SVK,Slovakia,primary,Drinking water,2019,0,0,Limited service
SVK,Slovakia,secondary,Drinking water,2019,0,0,Limited service
SVN,Slovenia,primary,Drinking water,2019,0,0,Limited service
SVN,Slovenia,secondary,Drinking water,2019,0,0,Limited service
SYC,Seychelles,primary,Drinking water,2019,0,0,Limited service
SYC,Seychelles,secondary,Drinking water,2019,0,0,Limited service
SYR,Syrian Arab Republic,primary,Drinking water,2019,48.49592,1052204.283,Limited service
SYR,Syrian Arab Republic,secondary,Drinking water,2019,48.81757,951880.5693,Limited service
TCA,Turks and Caicos Islands,primary,Drinking water,2019,0,0,Limited service
TCA,Turks and Caicos Islands,secondary,Drinking water,2019,0,0,Limited service
TCD,Chad,primary,Drinking water,2019,10.94645,302994.4009,Limited service
TGO,Togo,primary,Drinking water,2019,15.03994,191676.2145,Limited service
TLS,Timor-Leste,primary,Drinking water,2019,3.32794,6143.10448,Limited service
TLS,Timor-Leste,secondary,Drinking water,2019,13.9923,26076.46761,Limited service
TUN,Tunisia,primary,Drinking water,2019,17.2717,186054.3286,Limited service
UGA,Uganda,primary,Drinking water,2019,23.34217,2138903.478,Limited service
URY,Uruguay,primary,Drinking water,2019,0,0,Limited service
URY,Uruguay,secondary,Drinking water,2019,0,0,Limited service
USA,United States of America,primary,Drinking water,2019,0,0,Limited service
USA,United States of America,secondary,Drinking water,2019,0,0,Limited service
VCT,Saint Vincent and the Grenadines,primary,Drinking water,2019,0,0,Limited service
VCT,Saint Vincent and the Grenadines,secondary,Drinking water,2019,1.23457,110.8394,Limited service
VGB,British Virgin Islands,primary,Drinking water,2019,0,0,Limited service
WSM,Samoa,primary,Drinking water,2019,0,0,Limited service
WSM,Samoa,secondary,Drinking water,2019,0,0,Limited service
ZMB,Zambia,primary,Drinking water,2019,3.43661,119849.1276,Limited service
ZMB,Zambia,secondary,Drinking water,2019,0.98899,21016.69011,Limited service
ZWE,Zimbabwe,primary,Drinking water,2019,21.68661,622800.4632,Limited service
ZWE,Zimbabwe,secondary,Drinking water,2019,18.79227,376947.3541,Limited service
AFG,Afghanistan,primary,Drinking water,2019,24.5,1556270.38,No service
AGO,Angola,primary,Drinking water,2019,81.5,4644493.475,No service
AGO,Angola,secondary,Drinking water,2019,51.75799,2346059.085,No service
AND,Andorra,primary,Drinking water,2019,0,0,No service
AND,Andorra,secondary,Drinking water,2019,0,0,No service
ARE,United Arab Emirates,primary,Drinking water,2019,0,0,No service
ARE,United Arab Emirates,secondary,Drinking water,2019,0,0,No service
ARG,Argentina,primary,Drinking water,2019,10.07519,441624.9083,No service
ATG,Antigua and Barbuda,primary,Drinking water,2019,0,0,No service
ATG,Antigua and Barbuda,secondary,Drinking water,2019,0,0,No service
AUS,Australia,primary,Drinking water,2019,0,0,No service
AUS,Australia,secondary,Drinking water,2019,0,0,No service
AZE,Azerbaijan,primary,Drinking water,2019,0,0,No service
AZE,Azerbaijan,secondary,Drinking water,2019,0,0,No service
BDI,Burundi,primary,Drinking water,2019,47.9002,890891.9424,No service
BDI,Burundi,secondary,Drinking water,2019,14.53638,240553.1141,No service
BEL,Belgium,primary,Drinking water,2019,0,0,No service
BEL,Belgium,secondary,Drinking water,2019,0,0,No service
BEN,Benin,primary,Drinking water,2019,18.71765,349770.6809,No service
BEN,Benin,secondary,Drinking water,2019,26.91429,489009.9634,No service
BFA,Burkina Faso,primary,Drinking water,2019,40.81714,1396232.414,No service
BFA,Burkina Faso,secondary,Drinking water,2019,44.1127,1433163.423,No service
BGD,Bangladesh,primary,Drinking water,2019,8.62935,1277138.113,No service
BGD,Bangladesh,secondary,Drinking water,2019,0,0,No service
BHR,Bahrain,primary,Drinking water,2019,0,0,No service
BHR,Bahrain,secondary,Drinking water,2019,0,0,No service
BLR,Belarus,primary,Drinking water,2019,0,0,No service
BLR,Belarus,secondary,Drinking water,2019,0,0,No service
BRA,Brazil,primary,Drinking water,2019,17.80757,2505311.233,No service
BRA,Brazil,secondary,Drinking water,2019,6.46171,1523064.247,No service
BRB,Barbados,primary,Drinking water,2019,0,0,No service
BRB,Barbados,secondary,Drinking water,2019,0,0,No service
BTN,Bhutan,primary,Drinking water,2019,11.03753,9967.54967,No service
BTN,Bhutan,secondary,Drinking water,2019,7.76699,6480.31068,No service
BWA,Botswana,primary,Drinking water,2019,0,0,No service
BWA,Botswana,secondary,Drinking water,2019,0,0,No service
CAF,Central African Republic,primary,Drinking water,2019,81.38285,665449.6328,No service
CAF,Central African Republic,secondary,Drinking water,2019,57.70608,484830.904,No service
CHE,Switzerland,primary,Drinking water,2019,0,0,No service
CHE,Switzerland,secondary,Drinking water,2019,0,0,No service
CHL,Chile,primary,Drinking water,2019,3.66991,55670.85369,No service
CHN,China,primary,Drinking water,2019,0.59359,607559.1306,No service
CHN,China,secondary,Drinking water,2019,0.40079,397235.0623,No service
CIV,Côte d’Ivoire,primary,Drinking water,2019,56.24503,2244906.699,No service
CIV,Côte d’Ivoire,secondary,Drinking water,2019,13.81773,563493.535,No service
CMR,Cameroon,primary,Drinking water,2019,43.09825,1793207.668,No service
COD,Democratic Republic of the Congo,primary,Drinking water,2019,51.32505,7536810.187,No service
COD,Democratic Republic of the Congo,secondary,Drinking water,2019,56.5,6580579.295,No service
COG,Congo,primary,Drinking water,2019,60.4,518724.864,No service
COG,Congo,secondary,Drinking water,2019,31.87403,256919.3114,No service
