Year,Service Type,Service Level,Coverage,Type,Region,Residence Type,Population
2012,Drinking water,Limited service,2.7820788812,world,World,total,198311503.4817780
2012,Drinking water,Limited service,4.2792815181,world,World,rural,144653514.1866300
2012,Drinking water,Limited service,1.4316988166,world,World,urban,53657987.25652200
2012,Drinking water,Safely managed service,67.7430493777,world,World,total,4828844380.838470
2012,Drinking water,Safely managed service,47.8540238881,world,World,rural,1617620316.425940
2012,Drinking water,Safely managed service,85.6816647931,world,World,urban,3211224053.746100
2012,Drinking water,Surface water,2.589834146,world,World,total,184607958.72192400
2012,Drinking water,Surface water,4.990688484900000,world,World,rural,168701363.65136000
2012,Drinking water,Surface water,0.4244186332,world,World,urban,15906592.467372800
2012,Drinking water,Unimproved,7.2587433684,world,World,total,517416066.2744720
2012,Drinking water,Unimproved,13.0430077777,world,World,rural,440895721.075521
2012,Drinking water,Unimproved,2.041711322,world,World,urban,76520367.85051050
2013,Hygiene,Basic service,62.14086710620000,world,World,total,4482485804.938840
2013,Hygiene,Basic service,47.44589875400000,world,World,rural,1607673556.5535300
2013,Hygiene,Limited service,20.1103262193,world,World,total,1450643610.3738800
2013,Hygiene,Limited service,29.5030025145,world,World,rural,999690136.0730420
2013,Hygiene,No handwashing facility,17.7488066746,world,World,total,1280297132.602460
2013,Hygiene,No handwashing facility,23.0510987315,world,World,rural,781071554.1986220
2013,Sanitation,Basic service,29.0872670532,world,World,total,2098188643.6764100
2013,Sanitation,Basic service,16.6705825865,world,World,rural,564871896.2120690
2013,Sanitation,Basic service,40.0868036294,world,World,urban,1533316740.2862300
2013,Sanitation,Limited service,7.7708917549,world,World,total,560547568.8571470
2013,Sanitation,Limited service,6.7165332723,world,World,rural,227585380.76335500
2013,Sanitation,Limited service,8.704913603,world,World,urban,332962185.60155200
2013,Sanitation,Open defecation,11.7840984411,world,World,total,850037285.3819150
2013,Sanitation,Open defecation,22.5184440734,world,World,rural,763022896.0197050
2013,Sanitation,Open defecation,2.2748910067,world,World,urban,87014382.46728890
2013,Sanitation,Safely managed service,40.4293860664,world,World,total,2916344067.6699000
2013,Sanitation,Safely managed service,36.6856292187,world,World,rural,1243068790.9660300
2013,Sanitation,Safely managed service,43.7458583315,world,World,urban,1673275263.3009800
2013,Sanitation,Unimproved,10.9283566844,world,World,total,788308982.3225840
2013,Sanitation,Unimproved,17.4088108491,world,World,rural,589886282.864033
2013,Sanitation,Unimproved,5.1875334294,world,World,urban,198422700.93741900
2013,Drinking water,Basic service,19.4894781313,world,World,total,1405859189.5719100
2013,Drinking water,Basic service,29.5239540492,world,World,rural,1000400065.2595700
2013,Drinking water,Basic service,10.6002624833,world,World,urban,405459114.8582250
2013,Drinking water,Limited service,2.7764372349,world,World,total,200276260.58827800
2013,Drinking water,Limited service,4.3129021852,world,World,rural,146139897.80441100
2013,Drinking water,Limited service,1.4153329394,world,World,urban,54136361.41019070
2013,Drinking water,Safely managed service,68.3462761949,world,World,total,4930108431.549410
2013,Drinking water,Safely managed service,48.8929256343,world,World,rural,1656705125.3966500
2013,Drinking water,Safely managed service,85.5793661615,world,World,urban,3273403286.818190
2013,Drinking water,Surface water,2.4482535366,world,World,total,176602970.56920000
2013,Drinking water,Surface water,4.7546969662,world,World,rural,161109827.88244900
2013,Drinking water,Surface water,0.4050503683,world,World,urban,15493141.23708270
2013,Drinking water,Unimproved,6.9395549022,world,World,total,500579695.62194300
2013,Drinking water,Unimproved,12.515521165,world,World,rural,424080330.4787270
2013,Drinking water,Unimproved,1.9999880475,world,World,urban,76499368.26978770
2014,Hygiene,Basic service,62.1397869216,world,World,total,4535243059.594410
2014,Hygiene,Basic service,47.472461866,world,World,rural,1611985203.5304900
2014,Hygiene,Limited service,20.2078589043,world,World,total,1474861057.3869300
2014,Hygiene,Limited service,29.6461388854,world,World,rural,1006670717.0141800
2014,Hygiene,No handwashing facility,17.6523541741,world,World,total,1288348749.1612400
2014,Hygiene,No handwashing facility,22.8813992486,world,World,rural,776965751.8274560
2014,Sanitation,Basic service,28.9619242807,world,World,total,2113772392.7547900
2014,Sanitation,Basic service,16.6836942864,world,World,rural,566515138.9413100
2014,Sanitation,Basic service,39.6444830119,world,World,urban,1547257262.1358900
2014,Sanitation,Limited service,7.906370878600000,world,World,total,577042751.997044
2014,Sanitation,Limited service,6.8828966488,world,World,rural,233717130.29362800
2014,Sanitation,Limited service,8.7968350409,world,World,urban,343325624.8229640
2014,Sanitation,Open defecation,11.0349962392,world,World,total,805383999.2986180
2014,Sanitation,Open defecation,21.3538583794,world,World,rural,725096243.0185590
2014,Sanitation,Open defecation,2.0571672278,world,World,urban,80287764.92522490
2014,Sanitation,Safely managed service,41.5764100729,world,World,total,3034434692.604760
2014,Sanitation,Safely managed service,38.1314347475,world,World,rural,1294799262.2725500
2014,Sanitation,Safely managed service,44.573678619,world,World,urban,1739635447.4507100
2014,Sanitation,Unimproved,10.5202985286,world,World,total,767819029.4873620
2014,Sanitation,Unimproved,16.9481159379,world,World,rural,575493897.8460880
2014,Sanitation,Unimproved,4.9278361005,world,World,urban,192325126.06673000
2014,Drinking water,Basic service,19.3597874174,world,World,total,1412964959.6443400
2014,Drinking water,Basic service,29.2148524154,world,World,rural,992025860.1688550
2014,Drinking water,Basic service,10.7854807784,world,World,urban,420939111.6286530
2014,Drinking water,Limited service,2.7651207745,world,World,total,201811036.41879900
2014,Drinking water,Limited service,4.3410489893,world,World,rural,147405600.28896200
2014,Drinking water,Limited service,1.3939992479,world,World,urban,54405437.928849100
2014,Drinking water,Safely managed service,68.9426621254,world,World,total,5031747699.8862500
2014,Drinking water,Safely managed service,49.9376389289,world,World,rural,1695693290.1406700
2014,Drinking water,Safely managed service,85.4778042045,world,World,urban,3336054433.27746
2014,Drinking water,Surface water,2.3099468663,world,World,total,168590383.269843
2014,Drinking water,Surface water,4.5151142975,world,World,rural,153316199.6182830
2014,Drinking water,Surface water,0.3913616704,world,World,urban,15274185.47660890
2014,Drinking water,Unimproved,6.6224828164,world,World,total,483338786.9233460
2014,Drinking water,Unimproved,11.9913453688,world,World,rural,407180722.15196500
2014,Drinking water,Unimproved,1.9513540987,world,World,urban,76158057.08213980
2015,Hygiene,Basic service,62.1977489143,world,World,total,4592065219.45571
2015,Hygiene,Basic service,47.3963852098,world,World,rural,1612194346.229460
2015,Hygiene,Limited service,20.2315552179,world,World,total,1493697483.8048600
2015,Hygiene,Limited service,29.8111098187,world,World,rural,1014028865.1083900
2015,Hygiene,No handwashing facility,17.5706958678,world,World,total,1297246006.2394300
2015,Hygiene,No handwashing facility,22.7925049715,world,World,rural,775290087.8158380
2015,Sanitation,Basic service,28.8148171349,world,World,total,2127400458.6961700
2015,Sanitation,Basic service,16.6759450624,world,World,rural,567234489.0570990
2015,Sanitation,Basic service,39.1854267486,world,World,urban,1560165961.54961
2015,Sanitation,Limited service,8.0399513809,world,World,total,593590310.6914120
2015,Sanitation,Limited service,7.044504749700000,world,World,rural,239619765.92055900
2015,Sanitation,Limited service,8.890391858300000,world,World,urban,353970542.44542600
2015,Sanitation,Open defecation,10.2908063458,world,World,total,759771128.7881930
2015,Sanitation,Open defecation,20.1847217397,world,World,rural,686585994.3730610
2015,Sanitation,Open defecation,1.8381317533,world,World,urban,73185131.11368940
2015,Sanitation,Safely managed service,42.7285263519,world,World,total,3154650822.0017800
2015,Sanitation,Safely managed service,39.5888341847,world,World,rural,1346619459.7724700
2015,Sanitation,Safely managed service,45.4108612566,world,World,urban,1808031349.8112000
2015,Sanitation,Unimproved,10.1258987866,world,World,total,747595989.3298330
2015,Sanitation,Unimproved,16.5059942635,world,World,rural,561453590.0304970
2015,Sanitation,Unimproved,4.6751883832,world,World,urban,186142410.18981400
2015,Drinking water,Basic service,19.2265509214,world,World,total,1419497929.0634100
2015,Drinking water,Basic service,28.8738629036,world,World,rural,982148286.6453570
2015,Drinking water,Basic service,10.9845571352,world,World,urban,437349636.5111860
2015,Drinking water,Limited service,2.7567985076,world,World,total,203534673.91947400
2015,Drinking water,Limited service,4.3940955918,world,World,rural,149465745.9326030
2015,Drinking water,Limited service,1.3580055171,world,World,urban,54068927.128672700
2015,Drinking water,Safely managed service,69.53273860360000,world,World,total,5133608147.057660
2015,Drinking water,Safely managed service,50.9864800523,world,World,rural,1734311899.7493300
2015,Drinking water,Safely managed service,85.3773743318,world,World,urban,3399296227.486220
2015,Drinking water,Surface water,2.1695856974,world,World,total,160180700.9991080
2015,Drinking water,Surface water,4.2699520593,world,World,rural,145242987.16457600
2015,Drinking water,Surface water,0.3751784607,world,World,urban,14937713.136214100
2015,Drinking water,Unimproved,6.31432627,world,World,total,466187258.46034600
2015,Drinking water,Unimproved,11.475609393,world,World,rural,390344379.66182500
2015,Drinking water,Unimproved,1.9048845551,world,World,urban,75842890.84346320
2016,Hygiene,Basic service,62.1797996625,world,World,total,4642943474.94374
2016,Hygiene,Basic service,47.2426461732,world,World,rural,1609233763.957990
2016,Hygiene,Limited service,20.361728666,world,World,total,1520403020.9411400
2016,Hygiene,Limited service,30.0721792258,world,World,rural,1024353419.758400
2016,Hygiene,No handwashing facility,17.4584716715,world,World,total,1303617856.114880
2016,Hygiene,No handwashing facility,22.6851746011,world,World,rural,772728707.3534300
2016,Sanitation,Basic service,28.6738496944,world,World,total,2141066135.026840
2016,Sanitation,Basic service,16.6588267399,world,World,rural,567452262.5064340
2016,Sanitation,Basic service,38.7527728526,world,World,urban,1573613864.2516400
2016,Sanitation,Limited service,8.1662226479,world,World,total,609768934.0236240
2016,Sanitation,Limited service,7.1793098377,world,World,rural,244549971.8704690
2016,Sanitation,Limited service,8.9941044661,world,World,urban,365218962.22022100
2016,Sanitation,Open defecation,9.550212202400000,world,World,total,713110940.6935390
2016,Sanitation,Open defecation,19.0045834731,world,World,rural,647356146.8751850
2016,Sanitation,Open defecation,1.6193178384,world,World,urban,65754804.458212400
2016,Sanitation,Safely managed service,43.8607357128,world,World,total,3275065500.199600
2016,Sanitation,Safely managed service,41.0511815997,world,World,rural,1398332922.3011100
2016,Sanitation,Safely managed service,46.2175588682,world,World,urban,1876732580.7496700
2016,Sanitation,Unimproved,9.7489797425,world,World,total,727952842.0561530
2016,Sanitation,Unimproved,16.1060983497,world,World,rural,548624587.5166150
2016,Sanitation,Unimproved,4.4162459747,world,World,urban,179328223.04526200
2016,Drinking water,Basic service,19.0858537967,world,World,total,1425133899.2743800
2016,Drinking water,Basic service,28.5124819656,world,World,rural,971225204.1316760
2016,Drinking water,Basic service,11.1782321046,world,World,urban,453908706.98536800
2016,Drinking water,Limited service,2.7539952389,world,World,total,205639842.74443400
2016,Drinking water,Limited service,4.4502214539,world,World,rural,151588600.57184200
2016,Drinking water,Limited service,1.3310988401,world,World,urban,54051244.21516340
2016,Drinking water,Safely managed service,70.1035572232,world,World,total,5234607627.340090
2016,Drinking water,Safely managed service,52.0242007419,world,World,rural,1772108617.071630
2016,Drinking water,Safely managed service,85.26960796920000,world,World,urban,3462499001.2974700
2016,Drinking water,Surface water,2.0333281791,world,World,total,151827890.29256300
2016,Drinking water,Surface water,4.0281955207,world,World,rural,137213064.14482900
2016,Drinking water,Surface water,0.3599136599,world,World,urban,14614828.397090800
2016,Drinking water,Unimproved,6.023265562100000,world,World,total,449755092.3482850
2016,Drinking water,Unimproved,10.984900318,world,World,rural,374180405.1498380
2016,Drinking water,Unimproved,1.8611474263,world,World,urban,75574653.83397570
2017,Hygiene,Basic service,60.1050349188,world,World,total,4538087632.747770
2017,Hygiene,Basic service,45.464006947,world,World,rural,1550354472.5030100
2017,Hygiene,Limited service,21.558353435,world,World,total,1627712174.8277700
2017,Hygiene,Limited service,31.2064497149,world,World,rural,1064161787.2097400
2017,Hygiene,No handwashing facility,18.3366116462,world,World,total,1384462227.674220
2017,Hygiene,No handwashing facility,23.3295433381,world,World,rural,795553764.0542860
2017,Sanitation,Basic service,28.5146064308,world,World,total,2152927503.845580
2017,Sanitation,Basic service,16.6092615511,world,World,rural,566387449.3231240
2017,Sanitation,Basic service,38.3204464489,world,World,urban,1586540049.6870900
2017,Sanitation,Limited service,8.2995663537,world,World,total,626639007.4937740
2017,Sanitation,Limited service,7.327831407800000,world,World,rural,249884182.22957300
2017,Sanitation,Limited service,9.0999360586,world,World,urban,376754822.6718270
2017,Sanitation,Open defecation,8.9159398175,world,World,total,673176819.1264190
2017,Sanitation,Open defecation,18.0368576306,world,World,rural,615069475.2906270
2017,Sanitation,Open defecation,1.4034937643,world,World,urban,58107336.2367353
2017,Sanitation,Safely managed service,44.9869300408,world,World,total,3396631099.6948900
2017,Sanitation,Safely managed service,42.5133787477,world,World,rural,1449735984.7658600
2017,Sanitation,Safely managed service,47.0242710982,world,World,urban,1946895099.568420
2017,Sanitation,Unimproved,9.2829573572,world,World,total,700887605.0890960
2017,Sanitation,Unimproved,15.5126706628,world,World,rural,528992932.15784500
2017,Sanitation,Unimproved,4.1518526299,world,World,urban,171894669.508061
2017,Drinking water,Basic service,18.9598917654,world,World,total,1431521509.8874400
2017,Drinking water,Basic service,28.1619917369,world,World,rural,960343638.3157750
2017,Drinking water,Basic service,11.3805800018,world,World,urban,471177860.24755300
2017,Drinking water,Limited service,2.7345522667,world,World,total,206465861.62671200
2017,Drinking water,Limited service,4.4805702121,world,World,rural,152790581.69665700
2017,Drinking water,Limited service,1.2964441839,world,World,urban,53675278.09687840
2017,Drinking water,Safely managed service,70.644880085,world,World,total,5333873560.90547
2017,Drinking water,Safely managed service,53.0371646301,world,World,rural,1808604452.5070100
2017,Drinking water,Safely managed service,85.1474789042,world,World,urban,3525269090.7852800
2017,Drinking water,Surface water,1.9033735273,world,World,total,143709688.82072600
2017,Drinking water,Surface water,3.8028980391,world,World,rural,129681486.06577300
2017,Drinking water,Surface water,0.3388297265,world,World,urban,14028201.154535400
2017,Drinking water,Unimproved,5.7573023556,world,World,total,434691414.00940700
2017,Drinking water,Unimproved,10.5173753819,world,World,rural,358649865.185225
2017,Drinking water,Unimproved,1.8366671836,world,World,urban,76041547.39201990
